"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","runtimeMinutes","genre","averageRating","Director","Star1","Star2"
"tt2338151","movie","PK","PK",0,2014,153,"Comedy","8.1","Rajkumar Hirani","Aamir Khan","Anushka Sharma"
"tt2338454","movie","Unicorn Store","Unicorn Store",0,2017,92,"Comedy","5.6","Brie Larson","Brie Larson","Samuel L. Jackson"
"tt2349144","movie","Mississippi Grind","Mississippi Grind",0,2015,108,"Comedy","6.4","Anna Boden","Ben Mendelsohn","Ryan Reynolds"
"tt2350496","movie","The Lunchbox","The Lunchbox",0,2013,104,"Drama","7.8","Ritesh Batra","Irrfan Khan","Nimrat Kaur"
"tt2351310","movie","Flu","Gamgi",0,2013,122,"Action","6.6","Kim Sung-su","Jang Hyuk","Soo Ae"
"tt2353868","movie","True Spirit","True Spirit",0,2023,109,"Adventure","6.8","Sarah Spillane","Alyla Browne","Teagan Croft"
"tt2364975","movie","We Are the Best!","Vi är bäst!",0,2013,102,"Drama","7.1","Lukas Moodysson","Mira Barkhammar","Mira Grosin"
"tt2365580","movie","Where'd You Go, Bernadette","Where'd You Go, Bernadette",0,2019,109,"Comedy","6.5","Richard Linklater","Cate Blanchett","Billy Crudup"
"tt2366450","movie","Stories We Tell","Stories We Tell",0,2012,108,"Documentary","7.5","Sarah Polley","Michael Polley","John Buchan"
"tt2366608","movie","Lost River","Lost River",0,2014,95,"Drama","5.7","Ryan Gosling","Christina Hendricks","Iain De Caestecker"
"tt2368254","movie","A Private War","A Private War",0,2018,110,"Biography","6.7","Matthew Heineman","Rosamund Pike","Alexandra Moen"
"tt2368553","movie","Assault on Wall Street","Bailout: The Age of Greed",0,2013,99,"Action","6","Uwe Boll","Dominic Purcell","Erin Karpluk"
"tt2368619","movie","The Take","Bastille Day",0,2016,92,"Action","6.3","James Watkins","Idris Elba","Richard Madden"
"tt2369135","movie","Need for Speed","Need for Speed",0,2014,132,"Action","6.4","Scott Waugh","Aaron Paul","Dominic Cooper"
"tt2375559","movie","1: Nenokkadine","1 - Nenokkadine",0,2014,170,"Action","8","Sukumar","Mahesh Babu","Kriti Sanon"
"tt2375574","movie","A Field in England","A Field in England",0,2013,90,"Drama","6.2","Ben Wheatley","Julian Barratt","Peter Ferdinando"
"tt2375605","movie","The Act of Killing","The Act of Killing",0,2012,117,"Biography","8.2","Joshua Oppenheimer","Anwar Congo","Herman Koto"
"tt2376218","movie","The Forger","The Forger",0,2014,92,"Crime","5.8","Philip Martin","John Travolta","Christopher Plummer"
"tt2377322","movie","Deliver Us from Evil","Deliver Us from Evil",0,2014,118,"Crime","6.2","Scott Derrickson","Eric Bana","Edgar Ramírez"
"tt2383068","movie","The Sacrament","The Sacrament",0,2013,99,"Horror","6.1","Ti West","Joe Swanberg","AJ Bowen"
"tt23849204","movie","12th Fail","12th Fail",0,2023,147,"Biography","8.9","Vidhu Vinod Chopra","Vikrant Massey","Medha Shankr"
"tt2390237","movie","Cuban Fury","Cuban Fury",0,2014,98,"Comedy","6.2","James Griffiths","Nick Frost","Rashida Jones"
"tt2390361","movie","Enough Said","Enough Said",0,2013,93,"Comedy","7","Nicole Holofcener","Julia Louis-Dreyfus","James Gandolfini"
"tt2393827","movie","Howl","Howl",0,2015,92,"Action","5.5","Paul Hyett","Elliot Cowan","Rosie Day"
"tt2393845","movie","Kill Me Three Times","Kill Me Three Times",0,2014,90,"Action","5.8","Kriv Stenders","Simon Pegg","Teresa Palmer"
"tt2404181","movie","Belle","Belle",0,2013,100,"Biography","7.3","Amma Asante","Gugu Mbatha-Raw","Matthew Goode"
"tt2404233","movie","Gods of Egypt","Gods of Egypt",0,2016,127,"Action","5.4","Alex Proyas","Brenton Thwaites","Nikolaj Coster-Waldau"
"tt2404311","movie","The Family","The Family",0,2013,111,"Comedy","6.3","Luc Besson","Robert De Niro","Robert De Niro"
"tt2404425","movie","Woman in Gold","Woman in Gold",0,2015,109,"Biography","7.3","Simon Curtis","Helen Mirren","Ryan Reynolds"
"tt2404435","movie","The Magnificent Seven","The Magnificent Seven",0,2016,132,"Action","6.9","Antoine Fuqua","Denzel Washington","Chris Pratt"
"tt2404461","movie","The Past","Le passé",0,2013,130,"Drama","7.7","Asghar Farhadi","Bérénice Bejo","Tahar Rahim"
"tt2404463","movie","The Heat","The Heat",0,2013,117,"Action","6.6","Paul Feig","Sandra Bullock","Michael McDonald"
"tt2404465","movie","Troop Zero","Troop Zero",0,2019,94,"Comedy","6.9","Bertie Ellwood","Mckenna Grace","Viola Davis"
"tt2404738","movie","Witching and Bitching","Las brujas de Zugarramurdi",0,2013,112,"Action","6.4","Álex de la Iglesia","Hugo Silva","Mario Casas"
"tt2406252","movie","Venus in Fur","La Vénus à la fourrure",0,2013,96,"Drama","7.1","Roman Polanski","Emmanuelle Seigner","Mathieu Amalric"
"tt2406566","movie","Atomic Blonde","Atomic Blonde",0,2017,115,"Action","6.7","David Leitch","Charlize Theron","James McAvoy"
"tt24068064","movie","Reality","Reality",0,2023,83,"Drama","6.7","Tina Satter","Sydney Sweeney","Josh Hamilton"
"tt2436386","movie","Project Almanac","Project Almanac",0,2015,106,"Drama","6.3","Dean Israelite","Amy Landecker","Sofia Black-D'Elia"
